person_id,full_name,country,position,height,weight,edad,años_jugando,undrafted,team_id
200811.0,Lou Amundson,USA,Forward,6-9,220.0,42.0,9.0,0,1610612756.0
2365.0,Chris Andersen,USA,Forward-Center,6-10,245.0,47.0,15.0,0,0.0
2431.0,David Andersen,Australia,Desconocido,Desconocido,210.0,45.0,8.0,0,0.0
101187.0,Alan Anderson,USA,Forward-Guard,6-6,220.0,43.0,11.0,0,1610612751.0
202079.0,Antonio Anderson,USA,Guard,6-6,215.0,40.0,0.0,0,0.0
76036.0,Daniel Anderson,USA,Guard,6-2,185.0,74.0,1.0,0,1610612757.0
1507.0,Derek Anderson,USA,Guard,6-5,195.0,51.0,10.0,0,1610612757.0
76037.0,Dwight Anderson,USA,Guard,6-3,185.0,64.0,0.0,0,1610612743.0
944.0,Eric Anderson,USA,Forward,6-9,220.0,55.0,1.0,0,1610612752.0
246.0,Greg Anderson,USA,Center-Forward,6-10,250.0,61.0,10.0,0,1610612759.0
202341.0,James Anderson,USA,Guard-Forward,6-6,213.0,36.0,5.0,0,1610612759.0
76040.0,Jerome Anderson,USA,Guard,6-5,195.0,72.0,1.0,0,1610612754.0
1626147.0,Justin Anderson,USA,Forward-Guard,6-5,231.0,31.0,6.0,0,0.0
72.0,Kenny Anderson,USA,Guard,6-1,168.0,55.0,13.0,0,0.0
76041.0,Kim Anderson,USA,Forward,6-7,200.0,70.0,0.0,0,1610612757.0
203937.0,Kyle Anderson,USA,Forward-Guard,6-9,230.0,32.0,9.0,0,1610612750.0
76042.0,Michael Anderson,USA,Guard,5-11,184.0,59.0,0.0,0,1610612759.0
76043.0,Mitchell Anderson,USA,Forward,6-8,195.0,65.0,2.0,0,1610612762.0
98.0,Nick Anderson,USA,Forward-Guard,6-6,228.0,57.0,13.0,0,1610612753.0
76045.0,Richard Anderson,USA,Forward,6-10,240.0,64.0,7.0,0,1610612757.0
76046.0,Ron Anderson,USA,Forward,6-7,215.0,67.0,9.0,0,1610612755.0
201583.0,Ryan Anderson,USA,Forward,6-9,240.0,37.0,11.0,0,0.0
1000.0,Shandon Anderson,USA,Guard-Forward,6-6,215.0,51.0,9.0,0,1610612752.0
335.0,Willie Anderson,USA,Guard-Forward,6-8,200.0,58.0,8.0,0,1610612759.0
101149.0,Martynas Andriuskevicius,Lithuania,Center,7-2,240.0,39.0,1.0,0,1610612739.0
76049.0,Don Anielak,USA,Forward,6-7,190.0,95.0,0.0,0,1610612752.0
1628387.0,Ike Anigbogu,USA,Center,6-10,250.0,27.0,1.0,0,0.0
76050.0,Michael Ansley,USA,Forward,6-7,225.0,58.0,2.0,0,1610612753.0
1512.0,Chris Anstey,Australia,Center,7-0,249.0,50.0,2.0,0,1610612742.0
203507.0,Giannis Antetokounmpo,Greece,Forward,7-0,243.0,30.0,10.0,0,1610612749.0
1628961.0,Kostas Antetokounmpo,Greece,Forward,6-10,200.0,27.0,2.0,0,1610612747.0
203648.0,Thanasis Antetokounmpo,Greece,Forward,6-7,219.0,33.0,8.0,0,1610612749.0
2546.0,Carmelo Anthony,USA,Forward,6-7,238.0,41.0,18.0,0,1610612747.0
1630175.0,Cole Anthony,USA,Guard,6-3,185.0,25.0,3.0,0,1610612753.0
21.0,Greg Anthony,USA,Guard,6-1,180.0,57.0,10.0,0,1610612752.0
201202.0,Joel Anthony,Canada,Center,6-9,245.0,43.0,9.0,0,1610612748.0
203544.0,Pero Antic,Macedonia,Forward-Center,6-11,260.0,43.0,1.0,0,1610612737.0
1628384.0,O.G. Anunoby,United Kingdom,Forward,6-7,232.0,28.0,6.0,0,1610612761.0
2737.0,Rafael Araujo,Brazil,Center,6-11,270.0,45.0,2.0,0,1610612761.0
76053.0,Stacey Arceneaux,USA,Forward,6-4,210.0,89.0,0.0,0,1610612737.0
76054.0,Nate Archibald,USA,Guard,6-1,150.0,77.0,13.0,0,1610612758.0
2425.0,Robert Archibald,Scotland,Forward,6-11,250.0,45.0,1.0,0,1610612761.0
1627853.0,Ryan Arcidiacono,USA,Guard,6-3,195.0,31.0,5.0,0,0.0
76055.0,Jim Ard,USA,Center,6-9,215.0,77.0,3.0,0,1610612738.0
2240.0,Gilbert Arenas,USA,Guard,6-4,215.0,43.0,10.0,0,1610612764.0
2772.0,Trevor Ariza,USA,Forward,6-8,215.0,40.0,17.0,0,0.0
76056.0,Paul Arizin,USA,Forward,6-4,190.0,97.0,11.0,0,1610612744.0
76057.0,Joe Arlauckas,USA,Forward,6-9,230.0,60.0,0.0,0,1610612758.0
769.0,B.J. Armstrong,USA,Guard,6-2,185.0,58.0,10.0,0,1610612741.0
2220.0,Brandon Armstrong,USA,Guard,6-5,185.0,45.0,2.0,0,1610612751.0
353.0,Darrell Armstrong,USA,Guard,6-1,180.0,57.0,13.0,0,1610612753.0
200756.0,Hilton Armstrong,USA,Forward-Center,6-11,235.0,40.0,7.0,0,1610612740.0
76059.0,Tate Armstrong,USA,Guard,6-3,175.0,70.0,1.0,0,1610612741.0
76062.0,Jesse Arnelle,USA,Forward,6-5,220.0,91.0,0.0,0,1610612765.0
76064.0,Bob Arnzen,USA,Forward,6-5,205.0,78.0,0.0,0,1610612758.0
2306.0,Carlos Arroyo,Puerto Rico,Guard,6-2,200.0,46.0,9.0,0,1610612753.0
201589.0,Darrell Arthur,USA,Forward,6-9,235.0,37.0,9.0,0,1610612743.0
76065.0,John Arthurs,USA,Guard,6-4,185.0,78.0,0.0,0,1610612749.0
1628503.0,Jamel Artis,USA,Guard,6-7,213.0,32.0,0.0,0,1610612753.0
201600.0,Omer Asik,Turkey,Center,7-0,255.0,39.0,7.0,0,1610612740.0
355.0,Vincent Askew,USA,Guard,6-6,210.0,59.0,10.0,0,0.0
76068.0,Don Asmonga,USA,Guard,6-2,185.0,97.0,0.0,0,1610610024.0
76069.0,Richard Atha,USA,Guard,6-2,190.0,94.0,2.0,0,1610612752.0
1088.0,Chucky Atkins,USA,Guard,5-11,185.0,51.0,10.0,0,1610612765.0
76071.0,Chet Aubuchon,USA,Guard,5-10,137.0,109.0,0.0,0,1610610028.0
278.0,Stacey Augmon,USA,Forward-Guard,6-8,213.0,57.0,14.0,0,1610612737.0
201571.0,D.J. Augustin,USA,Guard,5-11,183.0,37.0,15.0,0,1610612745.0
200788.0,James Augustine,USA,Forward,6-10,235.0,41.0,1.0,0,1610612753.0
1134.0,Ike Austin,USA,Center,6-10,288.0,56.0,10.0,0,0.0
76073.0,John Austin,USA,Guard,6-0,170.0,81.0,0.0,0,1610612764.0
138.0,Anthony Avent,USA,Center,6-9,240.0,56.0,7.0,0,1610612749.0
76076.0,William Averitt,USA,Guard,6-2,170.0,73.0,1.0,0,1610612746.0
1895.0,William Avery,USA,Guard,6-2,180.0,46.0,3.0,0,1610612750.0
76078.0,Dennis Awtrey,USA,Center,6-10,235.0,77.0,11.0,0,1610612756.0
1630555.0,Joel Ayayi,France,Guard,6-4,180.0,25.0,0.0,0,0.0
202970.0,Gustavo Ayon,Mexico,Desconocido,Desconocido,210.0,40.0,5.0,0,0.0
201965.0,Jeff Ayres,USA,Forward-Center,6-9,250.0,38.0,6.0,0,1610612759.0
1629028.0,Deandre Ayton,Bahamas,Center,7-0,250.0,27.0,5.0,0,1610612756.0
101235.0,Kelenna Azubuike,United Kingdom,Guard,6-5,215.0,41.0,5.0,0,1610612744.0
1628962.0,Udoka Azubuike,Nigeria,Center-Forward,6-11,270.0,26.0,3.0,0,1610612762.0
203569.0,Chris Babb,USA,Guard,6-5,225.0,35.0,1.0,0,1610612738.0
202337.0,Luke Babbitt,USA,Forward,6-9,225.0,36.0,7.0,0,1610612740.0
76079.0,Milos Babic,USA,Center,7-0,240.0,56.0,1.0,0,1610612739.0
76080.0,Johnny Bach,USA,Forward,6-2,180.0,101.0,0.0,0,1610612738.0
1628407.0,Dwayne Bacon,USA,Guard-Forward,6-6,221.0,30.0,3.0,0,1610612753.0
76081.0,Jim Baechtold,USA,Forward,6-4,205.0,97.0,4.0,0,1610612752.0
2053.0,Dalibor Bagaric,Croatia,Center,7-1,290.0,45.0,2.0,0,1610612741.0
76082.0,John Bagley,USA,Guard,6-0,185.0,65.0,11.0,0,1610612739.0
1628963.0,Marvin Bagley III,USA,Forward,6-10,235.0,26.0,5.0,0,1610612765.0
76084.0,Carl Bailey,USA,Center,7-0,210.0,67.0,0.0,0,1610612757.0
76083.0,Gus Bailey,USA,Guard,6-5,185.0,74.0,5.0,0,1610612745.0
76085.0,James Bailey,USA,Forward,6-9,220.0,68.0,8.0,0,1610612760.0
1847.0,Thurl Bailey,USA,Forward,6-11,247.0,64.0,15.0,0,1610612762.0
1753.0,Toby Bailey,USA,Guard,6-6,213.0,49.0,4.0,0,1610612756.0
1858.0,Mark Baker,USA,Guard,6-1,175.0,55.0,0.0,0,0.0
2486.0,Maurice Baker,USA,Guard,6-2,200.0,46.0,2.0,0,0.0
76089.0,Norm Baker,Canada,Guard,6-0,180.0,102.0,0.0,0,1610610025.0
1627758.0,Ron Baker,USA,Guard,6-4,220.0,32.0,2.0,0,0.0
452.0,Vin Baker,USA,Forward,6-11,240.0,53.0,12.0,0,1610612760.0
1627735.0,Wade Baldwin IV,USA,Guard,6-4,200.0,29.0,2.0,0,0.0
1631116.0,Patrick Baldwin Jr.,USA,Forward,6-9,220.0,22.0,1.0,0,1610612744.0
200764.0,Renaldo Balkman,USA,Forward,6-8,225.0,41.0,5.0,0,0.0
76090.0,Cedric Ball,USA,Forward,6-8,210.0,57.0,0.0,0,1610612746.0
1630163.0,LaMelo Ball,USA,Guard,6-7,180.0,24.0,3.0,0,1610612766.0
1629071.0,LiAngelo Ball,USA,Desconocido,Desconocido,210.0,26.0,3.0,0,0.0
1628366.0,Lonzo Ball,USA,Guard,6-6,190.0,27.0,6.0,0,1610612741.0
76091.0,Greg Ballard,USA,Forward,6-7,215.0,70.0,11.0,0,1610612764.0
76092.0,Herschel Baltimore,USA,Forward,6-4,195.0,104.0,0.0,0,1610610034.0
