game_id,league_id,lead_changes,times_tied,team_id,team_abbreviation,team_city,pts_paint,pts_2nd_chance,pts_fb,largest_lead,team_turnovers,total_turnovers,team_rebounds,pts_off_to,venue
29800593,0,4,8,1610612747,LAL,Los Angeles,74,17,14,15,0.0,8.0,8.0,0.0,home
29800592,0,20,10,1610612758,SAC,Sacramento,58,10,16,5,0.0,14.0,7.0,0.0,home
29800589,0,4,0,1610612761,TOR,Toronto,44,25,25,19,0.0,13.0,8.0,0.0,home
29800588,0,0,2,1610612752,NYK,New York,28,4,10,0,0.0,18.0,7.0,0.0,home
29800591,0,7,5,1610612760,SEA,Seattle,50,18,16,2,0.0,13.0,2.0,0.0,home
29800594,0,7,1,1610612761,TOR,Toronto,30,11,27,4,0.0,10.0,6.0,0.0,home
29800600,0,2,2,1610612744,GSW,Golden State,38,15,24,28,1.0,22.0,13.0,0.0,home
29800599,0,2,1,1610612759,SAS,San Antonio,36,14,12,16,1.0,12.0,11.0,0.0,home
29800596,0,9,5,1610612749,MIL,Milwaukee,44,8,17,12,2.0,14.0,8.0,0.0,home
29800595,0,17,3,1610612764,WAS,Washington,32,15,10,4,0.0,15.0,11.0,0.0,home
29800597,0,1,4,1610612742,DAL,Dallas,38,10,26,4,0.0,15.0,6.0,0.0,home
29800609,0,14,10,1610612758,SAC,Sacramento,46,20,10,9,0.0,9.0,13.0,0.0,home
29800604,0,0,2,1610612739,CLE,Cleveland,36,10,11,0,1.0,12.0,8.0,0.0,home
29800608,0,7,2,1610612756,PHX,Phoenix,42,5,26,21,0.0,12.0,4.0,0.0,home
29800606,0,12,14,1610612754,IND,Indiana,40,5,22,13,0.0,13.0,9.0,0.0,home
29800610,0,0,0,1610612747,LAL,Los Angeles,36,18,2,0,0.0,14.0,9.0,0.0,home
29800607,0,2,5,1610612742,DAL,Dallas,52,12,20,26,0.0,8.0,4.0,0.0,home
29800605,0,7,6,1610612766,CHH,Charlotte,36,12,9,0,1.0,13.0,10.0,0.0,home
29800612,0,5,8,1610612763,VAN,Vancouver,44,14,10,9,0.0,15.0,7.0,0.0,home
29800603,0,6,5,1610612761,TOR,Toronto,40,5,19,16,1.0,13.0,8.0,0.0,home
29800611,0,0,0,1610612750,MIN,Minnesota,34,13,6,0,0.0,9.0,10.0,,home
29800613,0,1,1,1610612748,MIA,Miami,22,10,17,13,1.0,16.0,9.0,0.0,home
29800616,0,1,1,1610612759,SAS,San Antonio,48,9,25,28,1.0,16.0,8.0,0.0,home
29800614,0,4,4,1610612737,ATL,Atlanta,40,4,16,19,0.0,15.0,12.0,0.0,home
29800615,0,14,9,1610612765,DET,Detroit,30,8,10,4,0.0,15.0,6.0,0.0,home
29800619,0,1,6,1610612761,TOR,Toronto,26,18,14,10,1.0,16.0,7.0,0.0,home
29800622,0,2,2,1610612743,DEN,Denver,30,7,16,19,0.0,11.0,7.0,0.0,home
29800621,0,8,10,1610612749,MIL,Milwaukee,28,17,2,6,1.0,20.0,3.0,0.0,home
29800624,0,7,6,1610612745,HOU,Houston,50,21,20,4,2.0,17.0,12.0,0.0,home
29800626,0,2,1,1610612760,SEA,Seattle,46,18,26,21,0.0,8.0,10.0,0.0,home
29800623,0,5,4,1610612762,UTA,Utah,36,6,17,14,1.0,16.0,9.0,0.0,home
29800620,0,0,0,1610612738,BOS,Boston,44,14,16,31,0.0,20.0,13.0,0.0,home
29800618,0,4,6,1610612737,ATL,Atlanta,32,10,17,15,0.0,11.0,12.0,0.0,home
29800632,0,17,6,1610612758,SAC,Sacramento,44,12,14,12,0.0,12.0,10.0,0.0,home
29800629,0,3,2,1610612747,LAL,Los Angeles,40,7,4,4,0.0,13.0,6.0,0.0,home
29800630,0,13,8,1610612746,LAC,Los Angeles,34,11,18,12,1.0,12.0,5.0,0.0,home
29800628,0,15,9,1610612741,CHI,Chicago,26,4,14,7,0.0,14.0,4.0,0.0,home
29800627,0,8,4,1610612766,CHH,Charlotte,44,9,10,0,1.0,17.0,4.0,0.0,home
29800635,0,1,2,1610612753,ORL,Orlando,36,7,18,2,0.0,22.0,7.0,0.0,home
29800639,0,2,2,1610612762,UTA,Utah,46,20,12,24,1.0,16.0,10.0,0.0,home
29800638,0,0,2,1610612765,DET,Detroit,38,14,22,19,1.0,18.0,12.0,0.0,home
29800637,0,4,4,1610612749,MIL,Milwaukee,16,11,5,4,0.0,9.0,12.0,0.0,home
29800640,0,8,2,1610612745,HOU,Houston,22,11,4,1,2.0,15.0,11.0,0.0,home
29800641,0,8,7,1610612757,POR,Portland,36,16,17,16,1.0,21.0,8.0,0.0,home
29800647,0,5,7,1610612756,PHX,Phoenix,36,13,22,18,0.0,13.0,11.0,0.0,home
29800644,0,13,6,1610612749,MIL,Milwaukee,36,22,8,10,0.0,13.0,11.0,0.0,home
29800643,0,1,3,1610612739,CLE,Cleveland,18,3,6,2,0.0,16.0,10.0,0.0,home
29800645,0,4,5,1610612742,DAL,Dallas,52,16,7,16,0.0,10.0,4.0,0.0,home
29800650,0,0,1,1610612757,POR,Portland,40,18,8,25,1.0,10.0,4.0,0.0,home
29800649,0,3,2,1610612758,SAC,Sacramento,46,16,13,6,0.0,11.0,9.0,0.0,home
29800648,0,0,2,1610612759,SAS,San Antonio,42,11,9,33,1.0,17.0,14.0,0.0,home
29800646,0,2,0,1610612745,HOU,Houston,32,15,26,25,1.0,14.0,8.0,0.0,home
29800642,0,1,0,1610612766,CHH,Charlotte,28,14,10,0,2.0,18.0,9.0,0.0,home
29800653,0,4,8,1610612755,PHI,Philadelphia,32,19,14,9,1.0,14.0,13.0,0.0,home
29800656,0,4,5,1610612763,VAN,Vancouver,40,12,18,2,0.0,23.0,8.0,0.0,home
29800652,0,0,0,1610612748,MIA,Miami,48,12,12,26,1.0,14.0,7.0,0.0,home
29800654,0,9,7,1610612761,TOR,Toronto,30,18,22,2,1.0,18.0,7.0,0.0,home
29800651,0,6,3,1610612738,BOS,Boston,26,20,10,16,1.0,26.0,11.0,0.0,home
29800658,0,0,0,1610612762,UTA,Utah,36,20,4,0,2.0,17.0,10.0,0.0,home
29800659,0,4,7,1610612764,WAS,Washington,38,17,14,3,0.0,12.0,9.0,0.0,home
29800661,0,14,15,1610612765,DET,Detroit,40,11,6,10,0.0,12.0,10.0,0.0,home
29800662,0,0,1,1610612761,TOR,Toronto,26,21,19,0,0.0,14.0,14.0,0.0,home
29800663,0,2,2,1610612750,MIN,Minnesota,36,18,23,20,0.0,8.0,12.0,0.0,home
29800660,0,3,6,1610612737,ATL,Atlanta,24,19,4,11,2.0,16.0,11.0,0.0,home
29800664,0,4,6,1610612757,POR,Portland,44,24,23,38,0.0,10.0,6.0,0.0,home
29800672,0,7,4,1610612757,POR,Portland,20,15,15,7,2.0,20.0,16.0,0.0,home
29800665,0,1,2,1610612752,NYK,New York,36,8,9,16,2.0,16.0,11.0,0.0,home
29800671,0,2,5,1610612762,UTA,Utah,36,9,14,23,1.0,14.0,9.0,0.0,home
29800669,0,3,3,1610612742,DAL,Dallas,36,13,13,14,0.0,6.0,7.0,0.0,home
29800668,0,1,4,1610612766,CHH,Charlotte,32,10,25,0,2.0,16.0,9.0,0.0,home
29800670,0,5,2,1610612743,DEN,Denver,18,10,15,16,0.0,19.0,4.0,0.0,home
29800673,0,6,5,1610612758,SAC,Sacramento,48,17,18,27,0.0,22.0,12.0,0.0,home
29800674,0,1,1,1610612763,VAN,Vancouver,34,21,3,2,1.0,12.0,9.0,0.0,home
29800666,0,5,3,1610612764,WAS,Washington,52,16,11,13,1.0,15.0,11.0,0.0,home
29800667,0,13,14,1610612738,BOS,Boston,38,9,15,21,1.0,18.0,4.0,0.0,home
29800679,0,7,4,1610612749,MIL,Milwaukee,36,11,6,11,1.0,13.0,7.0,0.0,home
29800680,0,9,8,1610612750,MIN,Minnesota,24,14,16,12,0.0,10.0,9.0,0.0,home
29800682,0,1,1,1610612743,DEN,Denver,44,15,10,2,0.0,13.0,6.0,0.0,home
29800678,0,0,0,1610612739,CLE,Cleveland,30,8,9,15,0.0,15.0,7.0,0.0,home
29800675,0,5,5,1610612751,NJN,New Jersey,24,14,16,7,0.0,11.0,6.0,0.0,home
29800681,0,5,1,1610612762,UTA,Utah,30,10,12,15,0.0,12.0,7.0,0.0,home
29800677,0,12,8,1610612737,ATL,Atlanta,22,18,8,3,1.0,19.0,16.0,0.0,home
29800683,0,1,1,1610612738,BOS,Boston,34,9,13,16,1.0,20.0,7.0,0.0,home
29800684,0,3,0,1610612764,WAS,Washington,32,9,14,9,1.0,11.0,12.0,0.0,home
29800689,0,7,6,1610612757,POR,Portland,42,12,2,12,0.0,12.0,13.0,0.0,home
29800687,0,0,2,1610612746,LAC,Los Angeles,46,15,12,0,0.0,13.0,12.0,0.0,home
29800690,0,12,9,1610612756,PHX,Phoenix,44,23,24,30,0.0,15.0,7.0,0.0,home
29800688,0,8,5,1610612744,GSW,Golden State,46,10,19,4,2.0,13.0,8.0,0.0,home
29800686,0,4,4,1610612741,CHI,Chicago,48,8,4,22,3.0,13.0,4.0,0.0,home
29800685,0,7,10,1610612761,TOR,Toronto,42,13,6,9,1.0,20.0,10.0,0.0,home
29800697,0,3,6,1610612756,PHX,Phoenix,36,19,16,13,2.0,20.0,4.0,0.0,home
29800692,0,11,9,1610612737,ATL,Atlanta,18,12,9,11,0.0,16.0,6.0,0.0,home
29800598,0,4,6,1610612757,POR,Portland,38,23,16,22,0.0,13.0,8.0,0.0,home
29800696,0,3,2,1610612762,UTA,Utah,40,7,9,12,1.0,13.0,6.0,0.0,home
29800694,0,3,8,1610612752,NYK,New York,34,17,12,3,2.0,11.0,8.0,0.0,home
29800695,0,0,1,1610612746,LAC,Los Angeles,28,10,6,0,2.0,17.0,13.0,0.0,home
29800693,0,6,4,1610612755,PHI,Philadelphia,28,17,19,6,0.0,12.0,11.0,0.0,home
29800691,0,2,5,1610612748,MIA,Miami,44,8,17,7,0.0,12.0,8.0,0.0,home
29800703,0,6,7,1610612742,DAL,Dallas,28,16,9,9,0.0,17.0,13.0,0.0,home
29800704,0,3,6,1610612763,VAN,Vancouver,44,22,8,9,1.0,13.0,7.0,0.0,home
29800701,0,3,6,1610612741,CHI,Chicago,26,11,4,5,0.0,13.0,4.0,0.0,home
29800702,0,8,1,1610612743,DEN,Denver,40,13,13,3,0.0,14.0,7.0,0.0,home
29800700,0,6,6,1610612764,WAS,Washington,60,14,23,14,1.0,19.0,6.0,0.0,home
29800699,0,6,3,1610612752,NYK,New York,42,5,14,16,1.0,14.0,4.0,0.0,home
29800705,0,6,8,1610612737,ATL,Atlanta,22,5,2,11,0.0,11.0,14.0,0.0,home
29800712,0,9,2,1610612742,DAL,Dallas,40,8,11,4,1.0,11.0,10.0,0.0,home
29800711,0,9,7,1610612759,SAS,San Antonio,44,8,12,7,0.0,13.0,3.0,0.0,home
29800706,0,6,6,1610612766,CHH,Charlotte,38,15,18,0,0.0,23.0,10.0,0.0,home
29800710,0,7,11,1610612762,UTA,Utah,62,10,17,19,0.0,17.0,5.0,0.0,home
29800708,0,3,4,1610612761,TOR,Toronto,42,16,11,13,0.0,19.0,11.0,0.0,home
29800707,0,2,2,1610612754,IND,Indiana,30,9,12,24,1.0,13.0,9.0,0.0,home
29800709,0,3,1,1610612750,MIN,Minnesota,38,17,8,4,0.0,19.0,4.0,0.0,home
29800723,0,2,1,1610612757,POR,Portland,36,14,14,2,0.0,14.0,10.0,0.0,home
29800713,0,21,10,1610612766,CHH,Charlotte,58,11,23,0,0.0,13.0,9.0,0.0,home
29800724,0,8,7,1610612744,GSW,Golden State,32,20,9,5,0.0,8.0,9.0,0.0,home
29800722,0,9,7,1610612746,LAC,Los Angeles,64,11,28,10,1.0,14.0,6.0,0.0,home
29800719,0,9,10,1610612741,CHI,Chicago,36,4,10,6,1.0,20.0,5.0,0.0,home
29800721,0,18,10,1610612750,MIN,Minnesota,42,17,9,5,0.0,17.0,8.0,0.0,home
29800720,0,12,5,1610612745,HOU,Houston,48,16,13,12,0.0,12.0,12.0,0.0,home
29800718,0,8,3,1610612739,CLE,Cleveland,26,10,19,8,0.0,16.0,5.0,0.0,home
